+----+-----+-----+
|year|month|count|
|1954|   06|  119|
|1953|   08|  119|
|1954|   07|  119|
|1954|   09|  119|
|1954|   05|  119|
|2009|   11|  120|
|1955|   10|  120|
|1955|   05|  121|
|1994|   11|  121|
|2013|   11|  123|
|2016|   03|  124|
|1955|   08|  124|
|1955|   07|  124|
|1959|   08|  125|
|1955|   06|  125|
|1956|   05|  125|
|1958|   10|  126|
|1959|   10|  126|
|1959|   07|  126|
|1960|   07|  126|
|1955|   09|  126|
|1957|   05|  126|
|1960|   08|  127|
|1960|   09|  127|
|1956|   08|  127|
|1956|   07|  127|
|1960|   05|  127|
|1959|   05|  127|
|1956|   09|  127|
|1956|   06|  127|
|1960|   06|  127|
|1959|   09|  127|
|1957|   06|  128|
|1959|   06|  128|
|1958|   07|  129|
|1958|   09|  129|
|1981|   03|  129|
|1958|   05|  129|
|1957|   09|  129|
|1958|   06|  130|
|1957|   07|  130|
|1958|   08|  130|
|2006|   12|  130|
|1957|   08|  130|
|2005|   03|  132|
|2015|   12|  132|
|1973|   11|  133|
|2004|   11|  134|
|1989|   03|  139|
|2004|   03|  139|
|1985|   04|  142|
|2003|   03|  143|
|1989|   11|  144|
|1998|   03|  146|
|2006|   11|  147|
|2007|   11|  150|
|1986|   11|  151|
|1970|   04|  151|
|1969|   11|  152|
|1999|   03|  153|
|1990|   02|  155|
|2001|   11|  156|
|1961|   11|  156|
|1997|   03|  158|
|2000|   03|  158|
|2014|   11|  160|
|2002|   03|  161|
|1991|   03|  167|
|2009|   10|  168|
|2014|   03|  170|
|1967|   03|  171|
|2012|   03|  173|
|1983|   11|  174|
|2016|   04|  180|
|1996|   11|  181|
|1972|   11|  182|
|1984|   11|  183|
|1992|   04|  183|
|1982|   11|  184|
|1965|   03|  187|
|2002|   10|  188|
|1972|   03|  188|
|1975|   11|  190|
|1995|   04|  190|
|1997|   04|  194|
|1990|   03|  197|
|1977|   11|  197|
|2005|   11|  199|
|1961|   03|  201|
|2007|   03|  203|
|2003|   10|  204|
|1982|   03|  204|
|2011|   11|  204|
|2015|   11|  205|
|1968|   03|  207|
|2013|   04|  209|
