+----+-----+------+
|year|month| count|
|1979|   04|  1799|
|2013|   11|  1833|
|2007|   11|  1843|
|1992|   04|  1845|
|2004|   03|  1868|
|1977|   04|  1898|
|1960|   04|  1934|
|1972|   04|  1951|
|1953|   04|  2030|
|1949|   10|  2061|
|1952|   04|  2131|
|1982|   11|  2165|
|1986|   04|  2308|
|1978|   04|  2371|
|2001|   11|  2373|
|1973|   03|  2399|
|1954|   10|  2445|
|1971|   11|  2513|
|1977|   11|  2517|
|1971|   04|  2540|
|2015|   12|  2699|
|1974|   10|  2722|
|1950|   05|  2958|
|1949|   05|  3061|
|1963|   04|  3126|
|1995|   04|  3154|
|1966|   04|  3172|
|1957|   04|  3178|
|1951|   10|  3508|
|1951|   05|  3579|
|1988|   04|  3612|
|1990|   03|  3680|
|2003|   03|  3754|
|1976|   04|  3786|
|1950|   09|  3791|
|1983|   04|  3918|
|1997|   04|  3951|
|1960|   10|  3969|
|1967|   04|  3996|
|1969|   04|  4005|
|1959|   04|  4186|
|2014|   03|  4396|
|1949|   06|  4414|
|2011|   11|  4416|
|1981|   04|  4427|
|1982|   04|  4542|
|2006|   11|  4575|
|1962|   04|  4652|
|1955|   05|  4724|
|2001|   04|  4853|
|1999|   11|  4872|
|1950|   06|  4953|
|1952|   05|  4962|
|1949|   09|  5014|
|1965|   04|  5043|
|1992|   10|  5125|
|2002|   10|  5196|
|1996|   11|  5227|
|1980|   04|  5242|
|1949|   08|  5248|
|2006|   04|  5357|
|1978|   11|  5426|
|2007|   03|  5444|
|1957|   10|  5582|
|1949|   07|  5622|
|1952|   09|  5667|
|1956|   10|  5683|
|2016|   04|  5715|
|1950|   07|  5874|
|2009|   10|  5986|
|1953|   10|  6002|
|1950|   08|  6015|
|1975|   04|  6060|
|1987|   04|  6647|
|1959|   10|  6748|
|1964|   04|  6961|
|2012|   03|  7000|
|1991|   04|  7002|
|2012|   04|  7041|
|1989|   04|  7224|
|1984|   04|  7261|
|1953|   05|  7334|
|1994|   10|  7348|
|1979|   10|  7415|
|2013|   04|  7549|
|1961|   04|  7621|
|1980|   10|  7842|
|1955|   10|  8001|
|1976|   10|  8240|
|1994|   04|  8480|
|2014|   11|  8498|
|1973|   10|  8640|
|1954|   05|  8783|
|1963|   10|  8928|
|1964|   10|  9006|
|1993|   10|  9040|
|1958|   10|  9129|
|2003|   10|  9300|
|1993|   04|  9306|
|2015|   11|  9371|
|1958|   05|  9666|
|1957|   05|  9690|
|1998|   04|  9788|
|2005|   11|  9819|
|2010|   04|  9878|
|1951|   09|  9899|
|1954|   09| 10056|
|1953|   09| 10093|
|1951|   06| 10192|
|1998|   10| 10233|
|1968|   10| 10238|
|1981|   10| 10455|
|1952|   06| 10654|
|1990|   04| 11104|
|1972|   10| 11248|
|1970|   10| 11325|
|1974|   04| 11375|
|1996|   04| 11732|
|1966|   10| 11801|
|1968|   04| 12033|
|1986|   10| 12061|
|2003|   04| 12071|
|1983|   10| 12074|
|1982|   10| 12225|
|1952|   08| 12251|
|1988|   10| 12371|
